,TCGA-05-4244-01
476,4.013
477,0.4999000000000001
478,4.1991
479,0.0988
480,3.7896
481,-1.1923
482,-1.7212
483,-5.083499999999999
484,9.0857
485,-4.170299999999999
486,5.3512
487,-1.708
488,-0.0655999999999999
489,0.0586999999999999
490,-2.9074
491,-3.7365
492,-1.2378
493,-0.1521
494,0.1984
495,-5.279399999999999
496,-0.7952
497,-1.5149
498,-0.9112
499,-2.2234
500,-7.6152
501,-0.4199
502,0.8900000000000001
503,-1.4248
504,-0.93
505,0.9404
506,-2.8223
507,-1.6443
508,-1.8633
509,0.4373
510,-0.2576
511,-1.4077
512,-1.7073
513,-5.2043
514,-2.099
515,0.2503999999999999
516,1.4282
517,8.4107
518,-3.158
519,3.0758
520,-0.326
521,0.0242
522,0.4
523,-4.4141
524,-1.3849
525,-0.4352
526,0.8786
527,-1.386
528,-2.5958
529,-1.4154
530,-1.7374
531,-0.8059
532,-3.5148
533,-2.6644
534,1.2988
535,-6.959
536,-2.7714
537,0.0451
538,5.079700000000001
539,-0.0267999999999999
540,-0.9634
541,-4.3417
542,-1.1192
543,-6.5943000000000005
544,-1.0804
545,-0.2881
546,-1.1293
547,-0.2494
548,0.4446
549,2.9641999999999995
550,-1.4991
551,1.7122999999999995
552,4.939
553,1.0196
554,3.6309
555,3.9761
556,1.4406
557,-2.0588
558,-4.1719
559,4.107000000000001
560,-0.4216
561,2.7675
562,3.2001
563,1.9369
564,-1.529
565,3.0648
566,-0.3281
567,4.6370000000000005
568,8.3889
569,-6.663599999999999
570,0.3062
571,1.2337
572,2.5134
573,1.0519
574,-0.0025
575,-4.735299999999999
576,1.8284
577,-0.8283
578,-3.9962
579,-2.354
580,0.4155
581,-0.9006
582,0.5963
583,3.2856
584,4.241300000000001
585,-0.3009
586,0.6784999999999999
587,-2.0959
588,-0.605
589,5.4742
590,-0.1480132112414857
591,-0.589
592,0.4714
593,2.7468
594,0.1934
595,-3.7787000000000006
596,0.4943999999999999
597,0.1686999999999999
598,-0.8028
599,5.4315
600,-0.0729
601,-0.0675
602,1.314
603,-0.9081
604,0.3811
605,-1.0736
606,-3.8125
607,-1.5621
608,-2.4375
609,2.456
610,-5.1647
611,-1.9404
612,0.7162999999999999
613,-1.7055
614,-2.6139
615,0.1762
616,-0.1480132112414857
617,-7.414999999999999
618,0.5475
619,0.6229
620,-0.7655
621,-3.0292
622,-1.6516
623,4.7852
624,1.5472
625,6.9632000000000005
626,1.7670999999999997
627,-1.8647
628,0.2793
629,4.003500000000001
630,-6.5816
631,-1.5931
632,-1.5906
633,-0.0378999999999999
634,1.1304
635,3.4061
636,3.4826
637,-0.9934
638,-1.3331
639,-1.3745
640,-0.0256
641,-0.6328
642,3.9093
643,-2.2029
644,-0.6204
645,1.4366
646,-3.3963000000000005
647,-2.468
648,1.9726
649,-1.2346999999999997
650,0.8491
651,0.8460000000000001
652,1.9813
653,-5.598799999999999
654,-0.4433
655,3.5262
656,-5.449199999999999
657,0.471
658,-2.2136
659,-4.7273
660,-1.011
661,-1.0208
662,2.7105
663,-2.162
664,0.2158999999999999
665,-3.5037
666,-1.9425
667,-4.536299999999999
668,-1.4472
669,-0.3544
670,-3.9558
671,0.3685
672,-1.6026
673,0.1682
674,3.9594
675,0.1631
676,1.8903000000000003
677,0.6955
678,1.4474
679,2.7795
680,0.8359000000000001
681,-0.7485
682,4.0464
683,-1.6776
684,-2.7046
685,-1.1296
686,-2.9093
687,1.8851
688,2.7965
689,0.388
690,0.7665
691,2.6195
692,-0.9818
693,1.1691
694,1.7194000000000005
695,2.0468
696,2.1947
697,2.7977
698,-1.4108
699,3.1038
700,2.9098
701,0.3933
702,-2.9243
703,-0.5102
704,0.6244
705,-2.4727
706,-0.1480132112414857
707,-3.333
708,1.8415
709,5.491300000000001
710,5.3801000000000005
711,1.9502
712,7.191600000000001
713,-1.9105
714,-4.2112
715,2.5321
716,3.8652
717,3.7372
718,0.6417000000000002
719,2.3388
720,-0.5154
721,-0.0461999999999999
722,-0.4464
723,-0.802
724,-0.6434
725,1.2071
726,2.8158
727,-0.2714
728,2.4475
729,-3.032
730,-0.9183
731,4.983500000000001
732,1.8352
733,2.8507
734,-0.0332
735,-0.3061
736,-3.4252
737,-0.2203
738,0.5721
739,-2.5034
740,0.6002
741,1.866
742,-0.9709
743,0.8049
744,2.8649000000000004
745,4.9434000000000005
746,0.5786
747,0.4583999999999999
748,-2.8153
749,-2.7737
750,-1.1995999999999998
751,-0.8495
752,-0.4501
753,2.3467
754,3.0568
755,3.668
756,-1.9753
757,-1.8764
758,-0.2532
759,-1.4719
760,6.649800000000001
761,-1.6059
762,-4.2277000000000005
763,-0.1701
764,7.5463
765,-0.9703
766,-2.4729
767,1.239
768,1.695
769,-0.6702
770,1.0458
771,0.3775999999999999
772,0.5596999999999999
773,-0.9224
774,-6.0441
775,-0.4517
776,0.0563
777,-2.7816
778,0.3715999999999999
779,-3.9712
780,-2.687
781,-5.4703
782,3.4721000000000006
783,-2.5491
784,-0.0907999999999999
785,-6.635
786,-2.5852
787,-5.1877
788,-0.8526
789,-0.8198
790,0.4118999999999999
791,2.2487
792,-2.4474
793,4.967500000000001
794,2.0249
795,-1.7219
796,-1.7416
797,-0.1043999999999999
798,0.1482
799,1.8256
800,-2.0793
801,0.7932000000000001
802,3.7974
803,4.013300000000001
804,0.688
805,3.2714
806,0.9953
807,2.2771
808,-0.3284
809,4.516
810,-0.4698
811,0.4737
812,0.4117999999999999
813,0.15
814,2.3611
815,4.7813
816,1.1528
817,-3.4406
818,-2.0264
819,-4.8096
820,3.2383999999999995
821,4.5337
822,-0.4729
823,-2.589
824,1.2593
825,-0.1480132112414857
826,1.9912
827,1.2456999999999998
828,1.3611000000000002
829,2.3216
830,-9.6169
831,0.3471999999999999
832,-2.0598
833,0.0352
834,2.2605
835,-1.0713999999999997
836,-1.2164
837,3.5717
838,-7.796899999999999
839,-4.809899999999999
840,3.5988000000000007
841,-2.8587
842,1.0326
843,-1.8559
844,-1.5353
845,-1.8704000000000005
846,6.9132
847,8.2716
848,-1.8575
849,2.9952
850,1.3225
851,1.6601
852,0.5655
853,0.4902000000000001
854,-0.0565999999999999
855,-0.0289999999999999
856,-0.6123
857,-1.4741
858,-0.3432
859,-4.1323
860,-1.6059
861,-3.106
862,-0.5176
863,-3.668600000000001
864,0.6889
865,-3.8819
866,-1.7781
867,-3.5179
868,-1.7974000000000003
869,-1.1666
870,-1.8165
871,-1.6864
872,-2.6239
873,0.7623
874,3.6378
875,-0.4937
876,0.2953
877,-3.1717
878,-0.0102
879,-0.356
880,2.2052
881,-1.4507
882,3.7498
883,-0.1480132112414857
884,-2.5802
885,-0.6704
886,-1.2753
887,-0.9783
888,-4.6983
889,-3.1218
890,0.7386
891,1.1743
892,0.7475
893,-1.4264
894,-1.0951
895,-0.5442
896,-0.6343000000000001
897,0.3269999999999999
898,-2.8637
899,-1.2479
900,-3.8326
901,-2.2957
902,-2.1491
903,-3.7247
904,5.4915
905,0.8700999999999999
906,2.6356
907,4.2562
908,-0.1585
909,-0.0898999999999999
910,0.9813
911,3.1131999999999995
912,-0.2022
913,-3.2752
914,5.911300000000001
915,-0.2599
916,-0.5752
917,0.4861
918,1.5546000000000002
919,-1.149
920,1.4263
921,-0.1480132112414857
922,2.4935
923,-0.1093
924,-0.9065
925,5.137600000000001
926,3.2616
927,2.1849
928,0.4598
929,-1.681
930,-2.059
931,-2.1864
932,-1.3826
933,2.0451
934,-2.6734
935,-0.0148999999999999
936,-3.632000000000001
937,-3.9304
938,-3.8163
939,3.1795000000000004
940,-0.5399
941,-1.8507
942,-2.1038
943,-2.6998
944,-6.9704
945,-2.5991
946,2.7244
947,-2.6661
948,0.9295
949,1.9146
950,1.2254
951,-0.3467
952,-5.611699999999999
953,0.2637
954,-0.6835
955,-2.9277
956,-1.4308
957,0.8212000000000002
958,-3.0244
959,0.5438
960,1.1925
961,-4.1251
962,-3.8614
963,1.4561999999999995
964,0.351
965,-0.9943
966,2.0168
967,-0.3141
968,-2.4401
969,-0.4499
970,-3.3999
971,1.3184999999999998
972,-2.3905
973,2.416
974,-0.7626
975,0.1655999999999999
976,-1.4355
977,-1.4485
978,-1.6115
979,0.5556
980,-1.7362
981,-1.0528
982,4.533800000000001
983,0.5587
984,-1.6756
985,-0.9005
986,2.3112
987,-1.4001
988,-3.0897
989,-0.0560999999999999
990,-1.3688
991,-0.9043
992,-2.1915
993,1.5154
994,-2.7902
995,0.4519999999999999
996,0.2484999999999999
997,-1.6971
998,-0.1385
999,3.5685
1000,2.4954
1001,-1.2639
1002,-1.4151
1003,-1.8859
1004,-1.2559
1005,-2.829
1006,1.4398
1007,-0.7374
1008,0.3883
1009,-1.4379
1010,-0.9863
1011,2.5371
1012,-0.1761
1013,2.3379
1014,-0.4308
1015,0.0655999999999999
1016,-1.2047
1017,-0.3609
1018,1.3678
1019,4.809900000000001
1020,-0.566
1021,-0.1143
1022,0.0474999999999999
1023,-0.1466
1024,-1.9791
1025,1.1784
1026,0.0092999999999999
1027,3.3077999999999994
1028,-6.5092
1029,-6.504
1030,0.3282
1031,5.0214
1032,1.2562999999999998
1033,-1.1772
1034,0.8780999999999999
1035,-0.6801
1036,2.7202
1037,0.1282999999999999
1038,1.1299
1039,-0.2071
1040,-0.7232
1041,0.8193999999999999
1042,-0.6123
1043,-0.6247
1044,0.6190999999999999
1045,-2.7218
1046,-2.4118
1047,-1.7645
1048,14.7863
1049,-1.282
1050,-2.3428
1051,-1.7321
1052,-0.2588
1053,4.5771
1054,-2.2164
1055,-0.6540999999999999
1056,-0.4093
1057,0.2928999999999999
1058,0.0603
1059,1.6009999999999998
1060,-2.4134
1061,-0.5266
1062,0.214
1063,0.0199
1064,-5.116199999999999
1065,0.5989000000000001
1066,-2.5056
1067,-1.2676
1068,-3.5784
1069,-4.2797
1070,1.5072
1071,2.4249
1072,-0.9139
1073,-1.6513
1074,0.4679
1075,-4.655799999999999
1076,2.7909
1077,3.0726
1078,-4.3775
1079,0.7583
1080,-4.716899999999999
1081,-4.343499999999999
1082,-4.3446
1083,-0.1480132112414857
1084,-1.1155
1085,-3.3187
1086,1.0674
1087,0.2842
1088,-4.0448
1089,0.9273
1090,2.709
1091,-0.1480132112414857
1092,-0.1480132112414857
1093,-0.9173
1094,4.032
1095,-0.8481
1096,-1.5084
1097,-0.6116
1098,-0.6894
1099,0.4636
1100,1.4297
1101,0.0943
1102,-0.6154
1103,1.4853999999999998
1104,-1.6658
1105,0.7484999999999999
1106,0.9169
1107,-1.9252
1108,-0.6547
1109,4.1372
1110,1.5231
1111,-0.7675
1112,-2.0204
1113,1.3804
1114,-3.6278
1115,-1.927
1116,0.8637999999999999
1117,-0.7531000000000001
1118,-4.539899999999999
1119,0.8797999999999999
1120,5.549800000000001
1121,-1.0565
1122,-4.3832
1123,-0.3701
1124,-2.3203
1125,6.8599
1126,2.7352000000000003
1127,-0.2042
1128,5.627500000000001
1129,-0.7656
1130,-2.4427
1131,-1.9387
1132,-1.3033
1133,1.153
1134,-0.3893
1135,-2.6159
1136,-1.653
1137,-0.2782
1138,-1.1218
1139,1.0516
1140,-1.5404
1141,-2.5123
1142,0.3992
1143,7.381999999999998
1144,2.4897
1145,-1.2236
1146,0.5708
1147,-1.7619
1148,5.003
1149,-1.4416
1150,-1.4969
1151,1.2536000000000005
1152,0.1584999999999999
1153,-0.082
1154,-2.9485
1155,1.7763
1156,2.7264
1157,0.6198
1158,-2.6318
1159,1.4176999999999995
1160,1.5615
1161,2.9022
1162,2.8148000000000004
1163,4.9702
1164,0.4368000000000001
1165,1.1346
1166,0.3546
1167,0.5475
1168,3.4914000000000005
1169,1.4959
1170,0.5041
1171,0.2935
1172,-0.5156
1173,-0.9213
1174,1.0744
1175,1.8172
1176,4.879200000000001
1177,4.9816
1178,0.4567
1179,2.5351
1180,2.6129
1181,-2.5171
1182,-2.6248
1183,-1.7337
1184,-0.1480132112414857
1185,0.0524
1186,-1.2052
1187,0.5180000000000001
1188,0.8755
1189,8.3507
1190,-7.1838
1191,1.6322
1192,-1.7619
1193,4.4895
1194,-0.8001
1195,0.2874
1196,0.8618000000000001
1197,2.264
1198,2.3206
1199,0.3305
1200,0.2444999999999999
1201,-2.8311
1202,4.862300000000001
1203,-1.151
1204,2.8233
1205,-3.6596
1206,-1.5777
1207,-2.0523
1208,3.3638
1209,2.9231
1210,-2.5196
1211,-3.2476
1212,-0.4717
1213,-1.5436
1214,1.3693
1215,-2.6968
1216,-4.748999999999999
1217,-1.449
1218,-2.2446
1219,-0.7361
1220,0.5196
1221,1.5243
1222,0.2240999999999999
1223,-0.4681
1224,-0.6921
1225,0.2444999999999999
1226,-0.7559
1227,0.5449
1228,0.8773
1229,3.1457
1230,-0.1458
1231,1.1563
1232,0.4640999999999999
1233,1.8467
1234,-1.7197
1235,0.2357
1236,0.7478
1237,-1.0511
1238,-0.4271
1239,1.741
1240,-0.8828
1241,0.1689
1242,-0.0544999999999999
1243,-0.6744
1244,-0.1376
1245,-1.2058
1246,-1.6453
1247,0.1282999999999999
1248,0.8799000000000001
1249,0.9812
1250,0.1235
1251,-0.0426
1252,-1.0288
1253,2.7650999999999994
1254,9.446
1255,0.7306
1256,-0.6942
1257,4.0359
1258,0.3578
1259,-1.4504
1260,-1.5852
1261,-5.480699999999999
1262,0.595
1263,2.2945
1264,-1.2618
1265,-2.3066
1266,-2.7994
1267,1.1422
1268,1.1386
1269,3.2232
1270,0.0898999999999999
1271,-1.9449
1272,-0.3924
1273,0.5231999999999999
1274,0.6316
1275,0.6316
1276,1.1015
1277,-1.6901
1278,2.3235
1279,1.1315
1280,1.1663
1281,-1.9777
1282,1.0145
1283,-3.8374
1284,1.3238
1285,-0.9726
1286,1.2826999999999995
1287,2.8668000000000005
1288,-0.8216
1289,-0.1480132112414857
1290,1.3461999999999998
1291,-1.5538
1292,0.3545
1293,3.9579
1294,-0.265
1295,-0.1480132112414857
1296,-0.5923
1297,2.9111
1298,4.252800000000001
1299,-1.6623
1300,1.6267
1301,3.4589
1302,-0.5429
1303,2.5995
1304,2.1916
1305,2.6975
1306,6.381600000000001
1307,-0.1480132112414857
1308,-3.0742
1309,-0.4790999999999999
1310,13.929999999999998
1311,-3.5309
1312,5.8047
1313,-1.7018
1314,1.8933
1315,-1.9586
1316,-4.424199999999999
1317,2.7721
1318,1.7151
1319,-3.0067
1320,1.7068
1321,1.7703000000000002
1322,-2.0252
1323,-2.0309
1324,3.9982
1325,-1.3076
1326,-3.8393
1327,-1.7880000000000005
1328,-0.0872
1329,-5.3432
1330,-4.8767
1331,2.8642000000000003
1332,0.1674999999999999
1333,-0.0205
1334,-2.2132
1335,-1.6964
1336,3.383
1337,3.9788
1338,-0.8016
1339,2.5681
1340,4.180300000000001
1341,1.7154
1342,-3.392100000000001
1343,2.1286
1344,-0.9002
1345,0.3819
1346,1.034
1347,5.896099999999999
1348,0.5933
1349,2.09
1350,4.8331
1351,2.086
1352,-0.4015
1353,0.1783999999999999
1354,1.6118
1355,-0.5796
1356,-1.1757
1357,-3.3482
1358,1.3933
1359,-1.3178
1360,0.9933
1361,-1.3886
1362,-2.8977
1363,-1.2089000000000003
1364,-1.9333
1365,-1.8611
1366,0.6087000000000001
1367,0.3886
1368,-0.4432
1369,-1.1401
1370,-1.9982
1371,0.9232
1372,-0.1624
1373,4.252800000000001
1374,1.3654
1375,-3.8263
1376,-1.7671
1377,3.2031
1378,4.6586
1379,1.2818
1380,1.5987000000000002
1381,5.9259
1382,0.8287
1383,-0.1480132112414857
1384,-2.7305
1385,-0.8507
1386,-1.6353
1387,3.343
1388,-2.7455
1389,-0.1480132112414857
1390,-1.4716
1391,0.9613
1392,-2.4152
1393,-1.4039
1394,2.5695
1395,0.2633
1396,-0.8732
1397,1.6684
1398,0.3632999999999999
1399,0.2468
1400,-1.8401
1401,0.0663
1402,0.7763
1403,2.5396
1404,-0.2984
1405,0.5896
1406,-0.2638
1407,1.3382
1408,-0.3638
1409,0.3929
1410,0.7233
1411,0.2529
1412,-0.6544
1413,-0.2585
1414,-0.2298
1415,-0.3981
1416,-1.1836
1417,0.3318
1418,2.0088
1419,-1.8422
1420,0.6743
1421,-0.3375
1422,-1.9787
1423,2.5626
1424,-3.346
1425,-2.4537
1426,-0.8064
1427,-1.5158
1428,1.534
1429,-1.0789
1430,-0.1286
1431,3.4742
1432,-0.8699
1433,-0.7173
1434,-0.1791
1435,-2.9125
1436,2.0116
1437,-1.9883
1438,3.663
1439,1.9769
1440,0.4853
1441,1.0101
1442,-2.703
1443,-0.4650999999999999
1444,5.223600000000001
1445,0.7490999999999999
1446,3.1159
1447,-1.8119
1448,-0.5774
1449,5.8088
1450,0.0665
1451,-1.9981
1452,0.32
1453,0.2506999999999999
1454,-3.3085
1455,-0.2159
1456,-1.8471
1457,0.9416
1458,-0.922
1459,3.5304
1460,3.4143
1461,-0.6268
1462,3.2797
1463,-0.6234
1464,1.1898
1465,1.5701
1466,0.0919999999999999
1467,0.7671000000000001
1468,3.7663000000000006
1469,-0.1480132112414857
1470,1.0035
1471,-4.3468
1472,1.4293999999999998
1473,1.9156
1474,-5.5673
1475,-1.5672
1476,0.8606
1477,6.0853
1478,3.5306000000000006
1479,2.87
1480,-1.5099
1481,2.6291
1482,-1.5507
1483,-2.5416
1484,2.0923
1485,-6.4838000000000005
1486,-3.0046
1487,-2.6768
1488,-0.8515
1489,2.5594
1490,7.245199999999999
1491,0.8319000000000001
1492,-2.5806
1493,-2.888
1494,0.8938000000000001
1495,-8.6537
1496,0.8932
1497,-0.1480132112414857
1498,0.7707000000000002
1499,-3.5995
1500,-0.9654
1501,-0.4296
1502,-1.3132
1503,-0.1374
1504,2.4587
1505,-1.1293
1506,-0.1480132112414857
1507,2.2884
1508,-1.9404
1509,1.6667999999999998
1510,7.9069
1511,-2.0813
1512,2.1007
1513,-2.4689
1514,-0.53
1515,-0.9568
1516,0.6091000000000001
1517,-2.0923
1518,-3.7413
1519,0.6011999999999998
1520,3.418200000000001
1521,3.5612000000000004
1522,1.5149
1523,-0.0330999999999999
1524,-0.1480132112414857
1525,-4.7859
1526,-0.821
1527,-5.000499999999999
1528,-0.6005
1529,3.6246
1530,0.8113000000000001
1531,-1.3576
1532,-0.3696
1533,-1.0256000000000003
1534,-0.0862
1535,1.6458999999999997
1536,-0.6571
1537,4.639100000000001
1538,1.8211
1539,-1.7968999999999995
1540,-3.6397
1541,-2.0457
1542,-1.522
1543,-1.2072
1544,-1.0574
1545,-2.7136
1546,-3.8339
1547,-6.7288
1548,-3.8961
1549,1.2788
1550,2.5322
1551,4.6035
1552,-6.5138
1553,-3.6146
1554,-1.582
1555,-3.3448
1556,1.3257
1557,2.1761
1558,0.7085
1559,-4.3064
1560,-0.8096
1561,-3.6602
1562,2.488
1563,-2.8329
1564,4.9796
1565,0.7245999999999999
1566,-4.582699999999999
1567,-2.298
1568,1.9986
1569,-0.5612
1570,0.2577
1571,2.2786
1572,1.2879
1573,3.7443
1574,-1.3938
1575,2.0161
1576,-0.1480132112414857
1577,0.5578000000000001
1578,4.0838
1579,-1.8584
1580,0.3012
1581,-8.5223
1582,-0.1480132112414857
1583,2.8686
1584,0.1946
1585,-0.1480132112414857
1586,1.7439
1587,2.9314
1588,5.1987000000000005
1589,1.7329
1590,3.5465000000000004
1591,-1.7679
1592,-1.1784
1593,-1.5607
1594,-0.855
1595,-0.6341
1596,-0.0956
1597,3.6766
1598,3.1296
1599,0.2975
1600,4.892200000000001
1601,2.2079
1602,-0.1281
1603,0.2523999999999999
1604,-3.3065000000000007
1605,4.007
1606,6.341900000000001
1607,4.5968
1608,1.032
1609,0.3405
1610,3.2281
1611,-0.7674
1612,-0.9249
1613,1.9748
1614,-2.781
1615,3.0585
1616,0.9363
1617,1.5061
1618,2.9379
1619,1.331
1620,1.4374999999999998
1621,2.6097
1622,0.6616
1623,-0.3234
1624,-0.1480132112414857
1625,2.2505
