Hugo_Symbol,expression
ABCG8,-1.442
ABHD10,-0.1558
ABHD11,3.4861000000000004
ABHD12,0.1471
ABHD12B,0.2726999999999999
ABHD13,-1.4502
ABHD14A,-1.2324
ABHD14B,-1.8977
ABHD15,1.5828
ABHD1,4.7918
ABHD2,-1.9885
ABHD3,1.2104
ABHD4,0.6872
ABHD5,-1.6697
ABHD6,-1.7448
ABHD8,-2.9306
ABI1,0.8606
ABI2,-1.7863000000000002
ABI3,-1.8976
ABI3BP,-4.8291
ABL1,-1.9591
ABL2,1.6313
ABLIM1,-3.9059
ABLIM2,-1.459
ABLIM3,-4.308299999999999
ABO,1.1906
ABP1,-1.2341000000000002
ABR,-2.6682
ABRA,-1.797
ABT1,0.8199999999999998
ABTB1,-2.2161
ABTB2,4.3056
ACAA1,-0.1564
ACAA2,-0.1328
ACACA,0.2176
ACACB,-2.1267000000000005
ACAD10,1.4825
ACAD11,0.1257
ACAD8,-2.0683
ACAD9,1.6786
ACADL,-10.7785
ACADM,-0.3332
ACADS,1.986
ACADSB,3.0263
ACADVL,1.4329
ACAN,0.9561
ACAP1,-0.2814
ACAP2,-2.1778000000000004
ACAP3,-0.6755
ACAT1,-7.7691
ACAT2,0.1467999999999999
ACBD3,4.5001
ACBD4,0.9141
ACBD5,-2.4339
ACBD6,3.2801
ACBD7,0.0338999999999999
ACCN1,-0.9452
ACCN2,1.9245
ACCN3,2.5708
ACCN4,-0.6884
ACCN5,-5.0855
ACCS,2.1315
ACCSL,-5.421799999999999
ACD,1.9097
ACE,-2.7676
ACE2,-5.4817
ACER1,-2.3523
ACER2,-0.7605
ACER3,-1.8234
ACHE,6.126100000000001
ACIN1,0.7701
ACLY,4.259400000000001
ACMSD,7.255000000000001
ACN9,2.0464
ACO1,2.9325
ACO2,-2.5418
ACOT11,2.6864
ACOT12,-3.514
ACOT13,0.3474999999999999
ACOT1,-0.7935
ACOT2,-0.9656
ACOT4,1.6698
ACOT6,-0.0993999999999999
ACOT7,-1.3653
ACOT8,0.4965999999999999
ACOT9,-0.8884
ACOX1,-0.6854
ACOX2,0.8786
ACOX3,-3.3881
ACOXL,-5.116
ACP1,1.1818
ACP2,0.1099999999999999
ACP5,-1.7572
ACP6,2.4082
ACPL2,-0.3208
ACPP,-2.1681
ACPT,-4.1885
ACR,-1.6157
ACRBP,0.3639
ACRC,3.4112
ACRV1,-1.7149
ACSBG1,-0.8869
ACSBG2,-0.2122
ACSF2,-4.1088
ACSF3,-3.5275
ACSL1,-1.7039
ACSL3,-1.5819
ACSL4,1.5678
ACSL5,6.574900000000001
ACSL6,6.693299999999999
ACSM1,0.3578
ACSM2A,-1.9212
ACSM2B,-1.8506
ACSM3,-2.7221
ACSM4,-0.1480132112414857
ACSM5,-1.7735
ACSS1,-6.539999999999999
ACSS2,0.3936999999999999
ACSS3,-7.724399999999999
ACTA1,-0.4741000000000001
ACTA2,-2.1023
ACTB,0.5723000000000001
ACTBL2,4.0199
ACTC1,-2.2282
ACTG1,-0.1613
ACTG2,-3.3197000000000005
ACTL6A,3.2745999999999995
ACTL6B,-1.62
ACTL7A,-5.0109
ACTL7B,-2.7011
ACTL8,-3.081
ACTL9,-0.1480132112414857
ACTN1,-2.0028
ACTN2,-3.908
ACTN3,-1.5584
ACTN4,-3.1633
ACTR10,0.2968999999999999
ACTR1A,-4.0086
ACTR1B,2.6626
ACTR2,2.4759
ACTR3,1.1891
ACTR3B,0.5085000000000001
ACTR3C,-2.6799
ACTR5,8.0858
ACTR6,1.165
ACTR8,1.4118
ACTRT1,-7.0296
ACTRT2,-2.5023
ACVR1,3.4807
ACVR1B,5.9716000000000005
ACVR1C,3.7819
ACVR2A,-4.001
ACVR2B,1.5114
ACVRL1,1.3067
ACY1,1.9857
ACY3,2.2462
ACYP1,0.9111
ACYP2,-3.5317
ADA,1.2951
ADAD1,-3.6979
ADAD2,-1.3444
ADAL,-1.7301
ADAM10,-2.281
ADAM11,3.7303
ADAM12,2.3068
ADAM15,8.6237
ADAM17,-0.2658
ADAM18,-0.1480132112414857
ADAM19,-0.4744
ADAM20,-0.3451
ADAM21,0.3957999999999999
ADAM21P1,-2.1744
ADAM2,-5.662599999999999
ADAM22,3.1855999999999995
ADAM23,-1.7636
ADAM28,1.6687
ADAM29,-1.7015
ADAM30,-2.0488
ADAM32,3.9929
ADAM33,-2.3145
ADAM3A,-0.1480132112414857
ADAM5P,-0.1480132112414857
ADAM6,-0.7171999999999998
ADAM7,-0.1480132112414857
ADAM8,4.393700000000001
ADAM9,-0.0651999999999999
ADAMDEC1,0.5204
ADAMTS10,-1.6385
ADAMTS12,1.3132
ADAMTS13,2.334
ADAMTS14,3.6534
ADAMTS15,-3.1371
ADAMTS16,0.3308999999999999
ADAMTS17,-1.2439
ADAMTS18,0.1098
ADAMTS19,-1.2893
ADAMTS1,-3.7959
ADAMTS20,-1.5527
ADAMTS2,-1.9378
ADAMTS3,0.7175
ADAMTS4,-0.5112
ADAMTS5,-0.6237
ADAMTS6,-1.4192
ADAMTS7,-0.9129
ADAMTS8,-7.625199999999999
ADAMTS9,-1.0033
ADAMTSL1,-1.8956
ADAMTSL2,-2.3868
ADAMTSL3,-4.9354
ADAMTSL4,-1.7954
ADAMTSL5,4.9093
ADAP1,1.1771
ADAP2,1.2905999999999995
ADAR,4.2836
ADARB1,-3.8003999999999993
ADARB2,-2.9159
ADAT1,1.2161
ADAT2,1.0767
ADAT3,-1.6428
ADC,3.5271
ADCK1,0.2867999999999999
ADCK2,-0.0102
ADCK4,1.5913999999999997
ADCK5,3.4872000000000005
ADCY10,-0.1086
ADCY1,0.6304
ADCY2,-1.6705
ADCY3,0.6362
ADCY4,-2.566
ADCY5,-1.7426
ADCY6,3.0489
ADCY7,-0.9569
ADCY8,-3.2678
ADCY9,-1.3855
ADCYAP1,-2.1043000000000003
ADCYAP1R1,-1.7857
ADD1,-3.6017
ADD2,-2.0441
ADD3,-1.0182
ADH1A,-5.1813
ADH1B,-6.769
ADH1C,-2.9438
ADH4,-2.0899
ADH5,-2.8199
ADH6,0.1782999999999999
ADH7,-0.6998
ADHFE1,-1.6035
ADI1,-0.3343
ADIG,-0.1480132112414857
ADIPOQ,-1.0888
ADIPOR1,3.5335
ADIPOR2,-2.219
ADK,2.7952000000000004
ADM,0.2248
ADM2,2.8242
ADNP2,2.1178
ADNP,-0.4114
ADO,0.1287999999999999
ADORA1,4.305300000000001
ADORA2A,-0.8759
ADORA2B,1.6862
ADORA3,0.5492000000000001
ADPGK,-1.1641
ADPRH,-9.6088
ADPRHL1,0.2963
ADPRHL2,-0.3431
ADRA1A,-3.1162
ADRA1B,-1.3862
ADRA1D,-2.9551
ADRA2A,1.8411
ADRA2B,0.2799
ADRA2C,-1.7111
ADRB1,-3.11
ADRB2,-3.8097
ADRB3,-0.3375
ADRBK1,-0.9114
ADRBK2,-1.5808
ADRM1,2.0895
ADSL,1.2166
ADSS,9.0116
ADSSL1,1.2801
AEBP1,-1.9833
AEBP2,0.0357
AEN,1.1973
AES,4.1587
AFAP1,-0.8058
AFAP1L1,-3.4443
AFAP1L2,0.6059999999999999
AFARP1,-0.451
AFF1,-0.8601
AFF2,-5.2148
AFF3,-7.872499999999999
AFF4,1.2693
AFG3L1,0.1536999999999999
AFG3L2,-1.9294
AFM,-3.1408
AFMID,-0.6134
AFP,-2.3666
AFTPH,3.6561
C11orf96,-2.3025
AGA,0.3071999999999999
AGAP11,-1.9054
AGAP1,1.8121
AGAP2,-1.2425000000000002
AGAP3,-2.5572
AGAP4,1.1445
AGAP5,2.0191
AGAP6,1.4774
AGAP7,0.8536999999999999
AGAP8,1.3138
AGBL1,-3.2079
AGBL2,0.9066
AGBL3,0.3369
AGBL4,-1.1521
AGBL5,0.8658000000000001
AGER,-8.6077
AGFG1,-0.7191
AGFG2,-0.3959
AGGF1,3.6375
AGK,5.1875
AGL,-1.0306
AGMAT,3.5241
AGPAT1,0.3746
AGPAT2,0.2151
AGPAT3,1.438
AGPAT4,-5.009
AGPAT5,-0.0297
AGPAT6,1.7576
AGPAT9,-0.3013
AGPHD1,0.7384
AGPS,1.0044
AGR2,1.6687
AGR3,-3.5672
AGRN,-0.9983
AGRP,-0.6854
AGT,3.6179
AGTPBP1,-3.8906
AGTR1,-5.275
AGTR2,-4.0312
AGTRAP,-0.9002
AGXT,-2.4665
AGXT2,-2.08
AGXT2L1,-2.4445
AGXT2L2,2.6828
AHCTF1,2.9761
AHCY,3.9561000000000006
AHCYL1,3.9157000000000006
AHCYL2,0.8714
AHDC1,1.0758
AHI1,-0.7885
AHNAK2,2.0382
AHNAK,-3.5267
AHR,-0.4179
AHRR,-0.9843
AHSA1,1.4642999999999995
AHSA2,2.541
AHSG,-0.1353
AHSP,-1.6571
AICDA,-2.2975
AIDA,0.9226
AIF1,-1.4938
AIF1L,-0.4445
AIFM1,5.0943000000000005
AIFM2,0.1150999999999999
AIFM3,2.139
AIG1,1.089
AIM1,1.6785
AIM1L,-0.7158
AIM2,4.013
AIMP1,0.4999000000000001
AIMP2,4.1991
AIP,0.0988
AIPL1,3.7896
AIRE,-1.1923
AJAP1,-1.7212
AK1,-5.083499999999999
AK2,9.0857
AK3,-4.170299999999999
AK3L1,5.3512
AK5,-1.708
AK7,-0.0655999999999999
AKAP10,0.0586999999999999
AKAP11,-2.9074
AKAP12,-3.7365
AKAP13,-1.2378
AKAP14,-0.1521
AKAP1,0.1984
PALM2AKAP2,-5.279399999999999
AKAP3,-0.7952
AKAP4,-1.5149
AKAP5,-0.9112
AKAP6,-2.2234
AKAP7,-7.6152
AKAP8,-0.4199
AKAP8L,0.8900000000000001
AKAP9,-1.4248
AKD1,-0.93
AKIRIN1,0.9404
AKIRIN2,-2.8223
AKNA,-1.6443
AKNAD1,-1.8633
AKR1A1,0.4373
AKR1B10,-0.2576
AKR1B1,-1.4077
AKR1B15,-1.7073
AKR1C1,-5.2043
AKR1C2,-2.099
AKR1C3,0.2503999999999999
AKR1C4,1.4282
AKR1CL1,8.4107
AKR1D1,-3.158
AKR1E2,3.0758
AKR7A2,-0.326
AKR7A3,0.0242
AKR7L,0.4
AKT1,-4.4141
AKT1S1,-1.3849
AKT2,-0.4352
AKT3,0.8786
AKTIP,-1.386
ALAD,-2.5958
ALAS1,-1.4154
ALAS2,-1.7374
ALB,-0.8059
ALCAM,-3.5148
ALDH16A1,-2.6644
ALDH18A1,1.2988
ALDH1A1,-6.959
ALDH1A2,-2.7714
ALDH1A3,0.0451
ALDH1B1,5.079700000000001
ALDH1L1,-0.0267999999999999
ALDH1L2,-0.9634
ALDH2,-4.3417
ALDH3A1,-1.1192
ALDH3A2,-6.5943000000000005
ALDH3B1,-1.0804
ALDH3B2,-0.2881
ALDH4A1,-1.1293
ALDH5A1,-0.2494
ALDH6A1,0.4446
ALDH7A1,2.9641999999999995
ALDH8A1,-1.4991
ALDH9A1,1.7122999999999995
ALDOA,4.939
ALDOB,1.0196
ALDOC,3.6309
ALG10,3.9761
ALG10B,1.4406
ALG11,-2.0588
ALG12,-4.1719
ALG13,4.107000000000001
ALG14,-0.4216
ALG1,2.7675
ALG1L,3.2001
ALG1L2,1.9369
ALG2,-1.529
ALG3,3.0648
ALG5,-0.3281
ALG6,4.6370000000000005
ALG8,8.3889
ALG9,-6.663599999999999
ALK,0.3062
ALKBH1,1.2337
ALKBH2,2.5134
ALKBH3,1.0519
ALKBH4,-0.0025
ALKBH5,-4.735299999999999
ALKBH6,1.8284
ALKBH7,-0.8283
ALKBH8,-3.9962
ALLC,-2.354
ALMS1,0.4155
ALMS1P,-0.9006
ALOX12,0.5963
ALOX12B,3.2856
ALOX12P2,4.241300000000001
ALOX15,-0.3009
ALOX15B,0.6784999999999999
ALOX5,-2.0959
ALOX5AP,-0.605
ALOXE3,5.4742
ALPI,-0.1480132112414857
ALPK1,-0.589
ALPK2,0.4714
ALPK3,2.7468
ALPL,0.1934
ALPP,-3.7787000000000006
ALPPL2,0.4943999999999999
ALS2,0.1686999999999999
ALS2CL,-0.8028
ALS2CR11,5.4315
ALS2CR12,-0.0729
ALS2CR4,-0.0675
ALS2CR8,1.314
ALX1,-0.9081
ALX3,0.3811
ALX4,-1.0736
AMAC1,-3.8125
AMAC1L2,-1.5621
AMAC1L3,-2.4375
AMACR,2.456
AMBN,-5.1647
AMBP,-1.9404
AMBRA1,0.7162999999999999
AMD1,-1.7055
AMDHD1,-2.6139
AMDHD2,0.1762
AMELX,-0.1480132112414857
AMELY,-7.414999999999999
AMFR,0.5475
AMH,0.6229
AMHR2,-0.7655
AMICA1,-3.0292
AMIGO1,-1.6516
AMIGO2,4.7852
AMIGO3,1.5472
AMMECR1,6.9632000000000005
AMMECR1L,1.7670999999999997
AMN1,-1.8647
AMN,0.2793
AMOT,4.003500000000001
AMOTL1,-6.5816
AMOTL2,-1.5931
AMPD1,-1.5906
AMPD2,-0.0378999999999999
AMPD3,1.1304
AMPH,3.4061
AMT,3.4826
AMTN,-0.9934
AMY1A,-1.3331
AMY2A,-1.3745
AMY2B,-0.0256
AMZ1,-0.6328
AMZ2,3.9093
AMZ2P1,-2.2029
ANAPC10,-0.6204
ANAPC11,1.4366
ANAPC13,-3.3963000000000005
ANAPC16,-2.468
ANAPC1,1.9726
ANAPC2,-1.2346999999999997
ANAPC4,0.8491
ANAPC5,0.8460000000000001
ANAPC7,1.9813
ANG,-5.598799999999999
ANGEL1,-0.4433
ANGEL2,3.5262
ANGPT1,-5.449199999999999
ANGPT2,0.471
ANGPT4,-2.2136
ANGPTL1,-4.7273
ANGPTL2,-1.011
ANGPTL3,-1.0208
ANGPTL4,2.7105
ANGPTL5,-2.162
ANGPTL6,0.2158999999999999
ANGPTL7,-3.5037
ANK1,-1.9425
ANK2,-4.536299999999999
ANK3,-1.4472
ANKAR,-0.3544
ANKDD1A,-3.9558
ANKFN1,0.3685
ANKFY1,-1.6026
ANKH,0.1682
ANKHD1,3.9594
ANKHD1-EIF4EBP3,0.1631
ANKIB1,1.8903000000000003
ANKK1,0.6955
ANKLE1,1.4474
ANKLE2,2.7795
ANKMY1,0.8359000000000001
ANKMY2,-0.7485
ANKRA2,4.0464
ANKRD10,-1.6776
ANKRD11,-2.7046
ANKRD12,-1.1296
ANKRD1,-2.9093
ANKRD13A,1.8851
ANKRD13B,2.7965
ANKRD13C,0.388
ANKRD13D,0.7665
ANKRD16,2.6195
ANKRD17,-0.9818
ANKRD19,1.1691
ANKRD20A3,1.7194000000000005
ANKRD20A4,2.0468
ANKRD20B,2.1947
ANKRD22,2.7977
ANKRD2,-1.4108
ANKRD23,3.1038
ANKRD24,2.9098
ANKRD26,0.3933
ANKRD26P1,-2.9243
ANKRD27,-0.5102
ANKRD28,0.6244
ANKRD29,-2.4727
ANKRD30A,-0.1480132112414857
ANKRD30B,-3.333
ANKRD31,1.8415
ANKRD32,5.491300000000001
ANKRD33,5.3801000000000005
ANKRD34A,1.9502
ANKRD34B,7.191600000000001
ANKRD34C,-1.9105
ANKRD35,-4.2112
ANKRD36,2.5321
ANKRD36B,3.8652
ANKRD36BP1,3.7372
ANKRD37,0.6417000000000002
ANKRD39,2.3388
ANKRD40,-0.5154
ANKRD42,-0.0461999999999999
ANKRD43,-0.4464
ANKRD44,-0.802
ANKRD45,-0.6434
ANKRD46,1.2071
ANKRD49,2.8158
ANKRD50,-0.2714
ANKRD52,2.4475
ANKRD53,-3.032
ANKRD54,-0.9183
ANKRD55,4.983500000000001
ANKRD56,1.8352
ANKRD5,2.8507
ANKRD57,-0.0332
ANKRD58,-0.3061
ANKRD6,-3.4252
ANKRD7,-0.2203
ANKRD9,0.5721
ANKS1A,-2.5034
ANKS1B,0.6002
ANKS3,1.866
ANKS4B,-0.9709
ANKS6,0.8049
ANKZF1,2.8649000000000004
ANLN,4.9434000000000005
ANO10,0.5786
ANO1,0.4583999999999999
ANO2,-2.8153
ANO3,-2.7737
ANO4,-1.1995999999999998
ANO5,-0.8495
ANO6,-0.4501
ANO7,2.3467
ANO8,3.0568
ANO9,3.668
ANP32A,-1.9753
ANP32B,-1.8764
ANP32C,-0.2532
ANP32D,-1.4719
ANP32E,6.649800000000001
ANPEP,-1.6059
ANTXR1,-4.2277000000000005
ANTXR2,-0.1701
ANTXRL,7.5463
ANUBL1,-0.9703
ANXA10,-2.4729
ANXA11,1.239
ANXA1,1.695
ANXA13,-0.6702
ANXA2,1.0458
ANXA2P1,0.3775999999999999
ANXA2P2,0.5596999999999999
ANXA2P3,-0.9224
ANXA3,-6.0441
ANXA4,-0.4517
ANXA5,0.0563
ANXA6,-2.7816
ANXA7,0.3715999999999999
ANXA8,-3.9712
ANXA8L1,-2.687
ANXA8L2,-5.4703
ANXA9,3.4721000000000006
AOAH,-2.5491
AOC2,-0.0907999999999999
AOC3,-6.635
AOX1,-2.5852
AOX2P,-5.1877
AP1AR,-0.8526
AP1B1,-0.8198
AP1G1,0.4118999999999999
AP1G2,2.2487
AP1M1,-2.4474
AP1M2,4.967500000000001
AP1S1,2.0249
AP1S2,-1.7219
AP1S3,-1.7416
AP2A1,-0.1043999999999999
AP2A2,0.1482
AP2B1,1.8256
AP2M1,-2.0793
AP2S1,0.7932000000000001
AP3B1,3.7974
AP3B2,4.013300000000001
AP3D1,0.688
AP3M1,3.2714
AP3M2,0.9953
AP3S1,2.2771
AP3S2,-0.3284
AP4B1,4.516
AP4E1,-0.4698
AP4M1,0.4737
AP4S1,0.4117999999999999
APAF1,0.15
APBA1,2.3611
APBA2,4.7813
APBA3,1.1528
APBB1,-3.4406
APBB1IP,-2.0264
APBB2,-4.8096
APBB3,3.2383999999999995
APC2,4.5337
APC,-0.4729
APCDD1,-2.589
APCDD1L,1.2593
APCS,-0.1480132112414857
APEH,1.9912
APEX1,1.2456999999999998
APEX2,1.3611000000000002
APH1A,2.3216
APH1B,-9.6169
API5,0.3471999999999999
APIP,-2.0598
APITD1,0.0352
APLF,2.2605
APLN,-1.0713999999999997
APLNR,-1.2164
APLP1,3.5717
APLP2,-7.796899999999999
APOA1,-4.809899999999999
APOA1BP,3.5988000000000007
APOA2,-2.8587
APOA4,1.0326
APOA5,-1.8559
APOB,-1.5353
APOB48R,-1.8704000000000005
APOBEC1,6.9132
APOBEC2,8.2716
APOBEC3A,-1.8575
APOBEC3B,2.9952
APOBEC3C,1.3225
APOBEC3D,1.6601
APOBEC3F,0.5655
APOBEC3G,0.4902000000000001
APOBEC3H,-0.0565999999999999
APOBEC4,-0.0289999999999999
APOC1,-0.6123
APOC1P1,-1.4741
APOC2,-0.3432
APOC3,-4.1323
APOC4,-1.6059
APOD,-3.106
APOE,-0.5176
APOF,-3.668600000000001
APOH,0.6889
APOL1,-3.8819
APOL2,-1.7781
APOL3,-3.5179
APOL4,-1.7974000000000003
APOL5,-1.1666
APOL6,-1.8165
APOLD1,-1.6864
APOM,-2.6239
APOO,0.7623
APOOL,3.6378
APP,-0.4937
APPBP2,0.2953
APPL1,-3.1717
APPL2,-0.0102
APRT,-0.356
APTX,2.2052
AQP10,-1.4507
AQP11,3.7498
AQP12A,-0.1480132112414857
AQP12B,-2.5802
AQP1,-0.6704
AQP2,-1.2753
AQP3,-0.9783
AQP4,-4.6983
AQP5,-3.1218
AQP6,0.7386
AQP7,1.1743
AQP7P1,0.7475
AQP7P3,-1.4264
AQP8,-1.0951
AQP9,-0.5442
AQPEP,-0.6343000000000001
AQR,0.3269999999999999
AR,-2.8637
ARAF,-1.2479
ARAP1,-3.8326
ARAP2,-2.2957
ARAP3,-2.1491
ARC,-3.7247
ARCN1,5.4915
AREG,0.8700999999999999
ARF1,2.6356
ARF3,4.2562
ARF4,-0.1585
ARF5,-0.0898999999999999
ARF6,0.9813
ARFGAP1,3.1131999999999995
ARFGAP2,-0.2022
ARFGAP3,-3.2752
ARFGEF1,5.911300000000001
ARFGEF2,-0.2599
ARFIP1,-0.5752
ARFIP2,0.4861
ARFRP1,1.5546000000000002
ARG1,-1.149
ARG2,1.4263
ARGFX,-0.1480132112414857
ARGFXP2,2.4935
ARGLU1,-0.1093
ARHGAP10,-0.9065
ARHGAP11A,5.137600000000001
ARHGAP11B,3.2616
ARHGAP12,2.1849
ARHGAP1,0.4598
ARHGAP15,-1.681
ARHGAP17,-2.059
ARHGAP18,-2.1864
ARHGAP19,-1.3826
ARHGAP20,2.0451
ARHGAP21,-2.6734
ARHGAP22,-0.0148999999999999
ARHGAP23,-3.632000000000001
ARHGAP24,-3.9304
ARHGAP25,-3.8163
ARHGAP26,3.1795000000000004
ARHGAP27,-0.5399
ARHGAP28,-1.8507
ARHGAP29,-2.1038
ARHGAP30,-2.6998
ARHGAP31,-6.9704
ARHGAP32,-2.5991
ARHGAP33,2.7244
ARHGAP36,-2.6661
ARHGAP39,0.9295
ARHGAP42,1.9146
ARHGAP4,1.2254
ARHGAP5,-0.3467
ARHGAP6,-5.611699999999999
ARHGAP8,0.2637
ARHGAP9,-0.6835
ARHGDIA,-2.9277
ARHGDIB,-1.4308
ARHGDIG,0.8212000000000002
ARHGEF10,-3.0244
ARHGEF10L,0.5438
ARHGEF11,1.1925
ARHGEF12,-4.1251
ARHGEF15,-3.8614
ARHGEF16,1.4561999999999995
ARHGEF17,0.351
ARHGEF18,-0.9943
ARHGEF19,2.0168
ARHGEF1,-0.3141
ARHGEF2,-2.4401
ARHGEF33,-0.4499
ARHGEF3,-3.3999
ARHGEF35,1.3184999999999998
ARHGEF37,-2.3905
ARHGEF38,2.416
ARHGEF4,-0.7626
ARHGEF5,0.1655999999999999
ARHGEF6,-1.4355
ARHGEF7,-1.4485
ARHGEF9,-1.6115
ARID1A,0.5556
ARID1B,-1.7362
ARID2,-1.0528
ARID3A,4.533800000000001
ARID3B,0.5587
ARID3C,-1.6756
ARID4A,-0.9005
ARID4B,2.3112
ARID5A,-1.4001
ARID5B,-3.0897
ARIH1,-0.0560999999999999
ARIH2,-1.3688
ARL10,-0.9043
ARL11,-2.1915
ARL13A,1.5154
ARL13B,-2.7902
ARL1,0.4519999999999999
ARL14,0.2484999999999999
ARL15,-1.6971
ARL16,-0.1385
ARL17A,3.5685
ARL17B,2.4954
ARL2,-1.2639
ARL2BP,-1.4151
ARL3,-1.8859
ARL4A,-1.2559
ARL4C,-2.829
ARL4D,1.4398
ARL5A,-0.7374
ARL5B,0.3883
ARL5C,-1.4379
ARL6,-0.9863
ARL6IP1,2.5371
ARL6IP4,-0.1761
ARL6IP5,2.3379
ARL6IP6,-0.4308
ARL8A,0.0655999999999999
ARL8B,-1.2047
ARL9,-0.3609
ARMC10,1.3678
ARMC1,4.809900000000001
ARMC2,-0.566
ARMC3,-0.1143
ARMC4,0.0474999999999999
ARMC5,-0.1466
ARMC6,-1.9791
ARMC7,1.1784
ARMC8,0.0092999999999999
ARMC9,3.3077999999999994
ARMCX1,-6.5092
ARMCX2,-6.504
ARMCX3,0.3282
ARMCX5,5.0214
ARMCX6,1.2562999999999998
ARMS2,-1.1772
ARNT2,0.8780999999999999
ARNT,-0.6801
ARNTL2,2.7202
ARNTL,0.1282999999999999
ARPC1A,1.1299
ARPC1B,-0.2071
ARPC2,-0.7232
ARPC3,0.8193999999999999
ARPC4,-0.6123
ARPC5,-0.6247
ARPC5L,0.6190999999999999
ARPM1,-2.7218
ARPP19,-2.4118
ARPP21,-1.7645
ARR3,14.7863
ARRB1,-1.282
ARRB2,-2.3428
ARRDC1,-1.7321
ARRDC2,-0.2588
ARRDC3,4.5771
ARRDC4,-2.2164
ARRDC5,-0.6540999999999999
ARSA,-0.4093
ARSB,0.2928999999999999
ARSD,0.0603
ARSE,1.6009999999999998
ARSF,-2.4134
ARSG,-0.5266
ARSH,0.214
ARSI,0.0199
ARSJ,-5.116199999999999
ARSK,0.5989000000000001
ART1,-2.5056
ART3,-1.2676
ART4,-3.5784
ART5,-4.2797
ARTN,1.5072
ARV1,2.4249
ARVCF,-0.9139
ARX,-1.6513
AS3MT,0.4679
ASAH1,-4.655799999999999
ASAH2,2.7909
ASAH2B,3.0726
ASAM,-4.3775
ASAP1,0.7583
ASAP1-IT1,-4.716899999999999
ASAP2,-4.343499999999999
ASAP3,-4.3446
ASB10,-0.1480132112414857
ASB11,-1.1155
ASB12,-3.3187
ASB13,1.0674
ASB14,0.2842
ASB15,-4.0448
ASB1,0.9273
ASB16,2.709
ASB17,-0.1480132112414857
ASB18,-0.1480132112414857
ASB2,-0.9173
ASB3,4.032
ASB4,-0.8481
ASB5,-1.5084
ASB6,-0.6116
ASB7,-0.6894
ASB8,0.4636
ASB9,1.4297
ASCC1,0.0943
ASCC2,-0.6154
ASCC3,1.4853999999999998
ASCL1,-1.6658
ASCL2,0.7484999999999999
ASCL3,0.9169
ASCL4,-1.9252
ASF1A,-0.6547
ASF1B,4.1372
ASFMR1,1.5231
ASGR1,-0.7675
ASGR2,-2.0204
ASH1L,1.3804
ASH2L,-3.6278
ASIP,-1.927
ASL,0.8637999999999999
ASMT,-0.7531000000000001
ASMTL,-4.539899999999999
ASNA1,0.8797999999999999
ASNS,5.549800000000001
ASNSD1,-1.0565
ASPA,-4.3832
ASPDH,-0.3701
ASPG,-2.3203
ASPH,6.8599
ASPHD1,2.7352000000000003
ASPHD2,-0.2042
